id,annee,departement,parti,bloc_politique,n_chars,n_loc_local,n_loc_national,n_loc_total,n_intl,local_dens,national_dens,intl_dens,scale_score,has_intl,dominant_scale
EL065_L_1973_03_001_01_1_PF_01,1973,Ain,Soutien au/du PrÃ©sident de la RÃ©publique,non classé,2999,4,0,4,8,1.333777925975325,0.0,2.66755585195065,1.3333333333333333,True,supranational
EL065_L_1973_03_001_01_1_PF_02,1973,Ain,Union de la gauche socialiste et dÃ©mocrate,gauche,5178,4,0,4,0,0.772499034376207,0.0,0.0,0.0,False,local
EL065_L_1973_03_001_01_1_PF_03,1973,Ain,FaÃ®tes confiance aux jeunes d'aujourd'hui,non classé,2455,3,0,3,1,1.2219959266802443,0.0,0.40733197556008144,0.5,True,local
EL065_L_1973_03_001_01_1_PF_04,1973,Ain,Union populaire et victoire du programme commun,non classé,6734,5,0,5,1,0.7425007425007425,0.0,0.1485001485001485,0.3333333333333333,True,local
EL065_L_1973_03_001_01_1_PF_05,1973,Ain,MajoritÃ© Ve RÃ©publique,non classé,6600,10,0,10,0,1.5151515151515151,0.0,0.0,0.0,False,local
EL065_L_1973_03_001_01_1_PF_06,1973,Ain,non mentionnÃ©,non classé,3561,4,0,4,0,1.1232799775344005,0.0,0.0,0.0,False,local
EL065_L_1973_03_001_01_1_PF_07,1973,Ain,En finir avec la sociÃ©tÃ© actuelle,non classé,4237,7,0,7,0,1.6521123436393674,0.0,0.0,0.0,False,local
EL065_L_1973_03_001_02_1_PF_01,1973,Ain,Soutien au/du PrÃ©sident de la RÃ©publique,non classé,13185,22,0,22,9,1.6685627607129312,0.0,0.68259385665529,0.5806451612903226,True,local
EL065_L_1973_03_001_02_1_PF_02,1973,Ain,Union populaire et victoire du programme commun,non classé,6986,4,0,4,1,0.572573718866304,0.0,0.143143429716576,0.4,True,local
EL065_L_1973_03_001_02_1_PF_03,1973,Ain,Union de la gauche socialiste et dÃ©mocrate,gauche,8299,4,0,4,1,0.48198578141944814,0.0,0.12049644535486204,0.4,True,local
EL065_L_1973_03_001_02_1_PF_04,1973,Ain,Action sociale,non classé,2439,2,0,2,0,0.8200082000820008,0.0,0.0,0.0,False,local
EL065_L_1973_03_001_02_1_PF_05,1973,Ain,non mentionnÃ©,non classé,2356,2,0,2,2,0.8488964346349746,0.0,0.8488964346349746,1.0,True,local
EL065_L_1973_03_001_02_1_PF_06,1973,Ain,En finir avec la sociÃ©tÃ© actuelle,non classé,4217,7,0,7,0,1.6599478302110506,0.0,0.0,0.0,False,local
