id,annee,departement,parti,bloc_politique,n_loc_local,n_loc_national,n_intl,n_loc_total,n_per,scale_score,has_intl,dominant_scale
EL065_L_1973_03_001_01_1_PF_01,1973,Ain,Soutien au/du PrÃ©sident de la RÃ©publique,non classé,1,4,4,9,4,1.3333333333333333,True,supranational
EL065_L_1973_03_001_01_1_PF_02,1973,Ain,Union de la gauche socialiste et dÃ©mocrate,gauche,3,1,0,4,6,0.25,False,local
EL065_L_1973_03_001_01_1_PF_03,1973,Ain,FaÃ®tes confiance aux jeunes d'aujourd'hui,non classé,1,2,4,7,5,1.4285714285714286,True,supranational
EL065_L_1973_03_001_01_1_PF_04,1973,Ain,Union populaire et victoire du programme commun,non classé,3,1,0,4,5,0.25,False,local
EL065_L_1973_03_001_01_1_PF_05,1973,Ain,MajoritÃ© Ve RÃ©publique,non classé,6,3,0,9,12,0.3333333333333333,False,local
EL065_L_1973_03_001_01_1_PF_06,1973,Ain,non mentionnÃ©,non classé,2,1,0,3,7,0.3333333333333333,False,local
EL065_L_1973_03_001_01_1_PF_07,1973,Ain,En finir avec la sociÃ©tÃ© actuelle,non classé,3,1,1,5,4,0.6,True,local
EL065_L_1973_03_001_02_1_PF_01,1973,Ain,Soutien au/du PrÃ©sident de la RÃ©publique,non classé,3,7,1,11,7,0.8181818181818182,True,national
EL065_L_1973_03_001_02_1_PF_02,1973,Ain,Union populaire et victoire du programme commun,non classé,1,1,0,2,4,0.5,False,local
EL065_L_1973_03_001_02_1_PF_03,1973,Ain,Union de la gauche socialiste et dÃ©mocrate,gauche,2,8,0,10,6,0.8,False,national
EL065_L_1973_03_001_02_1_PF_04,1973,Ain,Action sociale,non classé,1,0,0,1,4,0.0,False,local
EL065_L_1973_03_001_02_1_PF_05,1973,Ain,non mentionnÃ©,non classé,1,1,1,3,2,1.0,True,local
EL065_L_1973_03_001_02_1_PF_06,1973,Ain,En finir avec la sociÃ©tÃ© actuelle,non classé,3,1,1,5,4,0.6,True,local
EL065_L_1973_03_001_02_1_PF_07,1973,Ain,non mentionnÃ©,non classé,1,1,1,3,8,1.0,True,local
EL065_L_1973_03_001_03_1_PF_01,1973,Ain,non mentionnÃ©,non classé,4,2,3,9,6,0.8888888888888888,True,local
EL065_L_1973_03_001_03_1_PF_02,1973,Ain,Union de la gauche socialiste et dÃ©mocrate,gauche,2,1,1,4,5,0.75,True,local
EL065_L_1973_03_001_03_1_PF_03,1973,Ain,En finir avec la sociÃ©tÃ© actuelle,non classé,3,1,1,5,4,0.6,True,local
EL065_L_1973_03_001_03_1_PF_04,1973,Ain,Environnement et progrÃ¨s,non classé,6,1,0,7,3,0.14285714285714285,False,local
